Record Type,Material Order,Job number,Description,,,,Record key,,
INMB,yy-1234501,yy-12345,export test 6.4.2020 v1,,,,1,,
Record Type,Item,Job Number,Location,Cost Type,Material Number,Ordered Units,Record Key,Tax Code,Phase
INIB,1,yy-12345,,2,1-4DC26,9,1,WI-ADA,01.01.01
INIB,2,yy-12345,,2,1-31239,100,1,WI-ADA,01.01.01
INIB,3,yy-12345,,2,1-60104,9,1,WI-ADA,01.01.01
INIB,4,yy-12345,,2,1-4CB81,10,1,WI-ADA,01.01.01
INIB,5,yy-12345,,2,1-30621,100,1,WI-ADA,01.01.01
INIB,6,yy-12345,,2,1-60175,45,1,WI-ADA,01.01.01
INIB,7,yy-12345,,2,1-60174,90,1,WI-ADA,01.01.01
INIB,8,yy-12345,,2,1-60184,45,1,WI-ADA,01.01.01
INIB,9,yy-12345,,2,1-60151,9,1,WI-ADA,01.01.01
INIB,10,yy-12345,,2,1-70061,24,1,WI-ADA,01.01.01
INIB,11,yy-12345,,2,1-70219,24,1,WI-ADA,01.01.01
INIB,12,yy-12345,,2,1-4DD26,1,1,WI-ADA,01.01.01
INIB,13,yy-12345,,2,1-60207,2,1,WI-ADA,01.01.01
INIB,14,yy-12345,,2,1-60263,5,1,WI-ADA,01.01.01
INIB,15,yy-12345,,2,1-60239,15,1,WI-ADA,01.01.01
INIB,16,yy-12345,,2,1-60225,9,1,WI-ADA,01.01.01
INIB,17,yy-12345,,2,1-60254,14,1,WI-ADA,01.01.01
INIB,18,yy-12345,,2,1-70020,40,1,WI-ADA,01.01.01
INIB,19,yy-12345,,2,1-70212,40,1,WI-ADA,01.01.01
INIB,20,yy-12345,,2,1-4DE26,2,1,WI-ADA,01.01.01
INIB,21,yy-12345,,2,1-60208,2,1,WI-ADA,01.01.01
INIB,22,yy-12345,,2,1-60240,10,1,WI-ADA,01.01.01
INIB,23,yy-12345,,2,1-60226,6,1,WI-ADA,01.01.01
INIB,24,yy-12345,,2,1-4DD26,1,1,WI-ADA,01.01.01
INIB,25,yy-12345,,2,1-8CD23,1,1,WI-ADA,01.01.01
INIB,26,yy-12345,,2,1-60305,2,1,WI-ADA,01.01.01
INIB,27,yy-12345,,2,1-60343,1,1,WI-ADA,01.01.01
INIB,28,yy-12345,,2,1-8GD53,1,1,WI-ADA,01.01.01
INIB,29,yy-12345,,2,1-60347NT,2,1,WI-ADA,01.01.01
INIB,30,yy-12345,,2,1-60347NB,2,1,WI-ADA,01.01.01
INIB,31,yy-12345,,2,1-60584,1,1,WI-ADA,01.01.01
INIB,32,yy-12345,,2,1-60351,2,1,WI-ADA,01.01.01
INIB,33,yy-12345,,2,1-60228,4,1,WI-ADA,01.01.01
INIB,34,yy-12345,,2,1-60154,1,1,WI-ADA,01.01.01
